Company,Tons CO2 (Gross),% Renewable Energy,Waterwithdrawl (liters),,source
,,,,,
Apple,"15,300,000",100,"6,000,000,000",,apple
,,,,,
Microsoft,"15,543,000",100,"8,000,000,000",,microsoft
,,,,,
Google,"15,200,000",100,"29,000,000,000",,google 
,,,,,
Meta,8200000,100,"1,490,000,000",,meta
,,,,,
Amazon,"68,250,000",100,"2,900,000,000",,amazon
,,,,,
Intel,"27,500,000",98,"55,000,000,000",,intel
,,,,,
Nvidia,"7,153,907",100,"409,000,000",,nividia
,,,,,
Salesforce,"1,100,000",100,N/A,,salesforce
,,,,,
Dell,"32,950,000",59,"1,770,000,000",,dell 
,,,,,
HP,"17,757,000",66,"2,245,000,000",,hp
,,,,,
Qualcomm,"13,000,000",68,"2,640,000,000",,qualcomm
